,source,target,ShpName,post_type,shape_leng,st_label,betweenness_e,physicalid
5281,"(-73.95771833151966, 40.816277352693774)","(-73.9578330636786, 40.81631963699696)",CSCL_MN,ST,35.2969701398,W 126 ST,13078.0,19784.0
5282,"(-73.95771833151966, 40.816277352693774)","(-73.95819953208658, 40.81558041746313)",CSCL_MN,,286.732810482,BROADWAY,404790.0,188153.0
5283,"(-73.95771833151966, 40.816277352693774)","(-73.95747334480572, 40.816184790790395)",CSCL_MN,ST,75.7344552347,W 126 ST,21092.0,184239.0
5284,"(-73.95955072959185, 40.81372595734234)","(-73.95903521712037, 40.81444129281085)",CSCL_MN,,297.136381545,BROADWAY,406972.0,2963.0
5285,"(-73.95955072959185, 40.81372595734234)","(-73.95968755861988, 40.81377889056707)",CSCL_MN,ST,42.5025867012,LA SALLE ST,5547.0,21671.0
5286,"(-73.95955072959185, 40.81372595734234)","(-73.96053536278346, 40.8124066440709)",CSCL_MN,,552.574352846,BROADWAY,417269.0,181396.0
5287,"(-73.95955072959185, 40.81372595734234)","(-73.95864126116214, 40.81335246667697)",CSCL_MN,ST,286.174343944,LA SALLE ST,6882.0,117614.0
5288,"(-73.95903521712037, 40.81444129281085)","(-73.95857522639513, 40.81506837722408)",CSCL_MN,,261.553840545,BROADWAY,403566.0,117615.0
5289,"(-73.96099289655287, 40.811780289698035)","(-73.96053536278346, 40.8124066440709)",CSCL_MN,,260.993213055,BROADWAY,462439.0,2965.0
5290,"(-73.96099289655287, 40.811780289698035)","(-73.96111106787372, 40.811830297832344)",CSCL_MN,ST,37.4434749267,W 122 ST,16576.0,72740.0
5291,"(-73.96099289655287, 40.811780289698035)","(-73.96145644324119, 40.811158496482605)",CSCL_MN,,260.358311336,BROADWAY,448951.0,191186.0
5292,"(-73.96099289655287, 40.811780289698035)","(-73.95827292837129, 40.8106280464623)",CSCL_MN,ST,862.060839667,W 122 ST,3640.0,191205.0
5293,"(-73.96053536278346, 40.8124066440709)","(-73.95829640184586, 40.81146893577364)",CSCL_MN,ST,707.703140634,W 123 ST,56068.0,171956.0
5294,"(-73.96195062827526, 40.81048905256152)","(-73.96145644324119, 40.811158496482605)",CSCL_MN,,279.647307007,BROADWAY,449271.0,2967.0
5295,"(-73.96195062827526, 40.81048905256152)","(-73.96239568563824, 40.80990496465509)",CSCL_MN,,245.894787676,BROADWAY,434225.0,2968.0
5296,"(-73.96195062827526, 40.81048905256152)","(-73.95921746258654, 40.8093403079935)",CSCL_MN,ST,864.648576371,W 120 ST,2790.0,81600.0
5297,"(-73.96145644324119, 40.811158496482605)","(-73.95872197192303, 40.810009615224196)",CSCL_MN,ST,864.983068175,W 121 ST,1043.0,191204.0
5298,"(-73.96239568563824, 40.80990496465509)","(-73.96284778596672, 40.809279427472774)",CSCL_MN,,260.007832821,BROADWAY,433325.0,2969.0
5299,"(-73.96284778596672, 40.809279427472774)","(-73.96380137096992, 40.80796160874475)",CSCL_MN,,547.912818206,BROADWAY,436815.0,2970.0
5300,"(-73.96380137096992, 40.80796160874475)","(-73.96105362481597, 40.806820943987866)",CSCL_MN,ST,866.792592026,W 116 ST,8958.0,73436.0
5301,"(-73.96380137096992, 40.80796160874475)","(-73.96428280024203, 40.80729303100004)",CSCL_MN,,277.663089922,BROADWAY,437734.0,191234.0
5302,"(-73.96520341045975, 40.8060360730459)","(-73.96475182494677, 40.80666673496718)",CSCL_MN,,261.580637596,BROADWAY,433344.0,2973.0
5303,"(-73.96520341045975, 40.8060360730459)","(-73.96565157380208, 40.80540558819636)",CSCL_MN,,261.072955098,BROADWAY,435789.0,2974.0
5304,"(-73.96520341045975, 40.8060360730459)","(-73.9624749354139, 40.804885380044595)",CSCL_MN,ST,863.900916387,W 113 ST,4916.0,191165.0
5305,"(-73.96475182494677, 40.80666673496718)","(-73.96428280024203, 40.80729303100004)",CSCL_MN,,262.53781309,BROADWAY,440788.0,181262.0
5306,"(-73.96475182494677, 40.80666673496718)","(-73.96200774556328, 40.80550945325903)",CSCL_MN,ST,868.836819494,W 114 ST,3515.0,171930.0
5307,"(-73.96565157380208, 40.80540558819636)","(-73.96610915697663, 40.80478408296807)",CSCL_MN,,259.462831343,BROADWAY,439779.0,190598.0
5308,"(-73.96565157380208, 40.80540558819636)","(-73.96292186482734, 40.80425807887209)",CSCL_MN,ST,863.643938368,W 112 ST,265.0,191173.0
5309,"(-73.96659750442795, 40.80412367716156)","(-73.96610915697663, 40.80478408296807)",CSCL_MN,,275.991070846,BROADWAY,441087.0,2976.0
5310,"(-73.96659750442795, 40.80412367716156)","(-73.96704420732787, 40.803530654708844)",CSCL_MN,,248.948893465,BROADWAY,444361.0,183457.0
